Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Imbo et al., 2007a","Imbo et al., 2007a",,60,Adult,MA-Maths,,,arithmetic,-0.2,Math Anxiety,Non specified,,,,,Mathematic,French Kit
yes,"Imbo et al., 2007a","Imbo et al., 2007a",,60,Adult,MA-Maths,,,arithmetic,-0.32,Math Anxiety,Non specified,,,,,Mathematic,French Kit
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-WM,verbal,WM,,-0.47,Math anxiety,Self developed,,,Working memory,Algebra wm task based on Turner and Engle (1989),,
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-WM,verbal,WM,,-0.13,Math anxiety,Self developed,,,Working memory,Algebra wm task based on Turner and Engle (1989),,
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-WM,verbal,WM,,-0.33,Math anxiety,Self developed,,,Working memory,Algebra wm task based on Turner and Engle (1989),,
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-WM,verbal,WM,,-0.6,Math anxiety,Self developed,,,Working memory,Algebra wm task based on Turner and Engle (1989),,
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-WM,verbal,WM,,-0.07,Math anxiety,Self developed,,,Working memory,Algebra wm task based on Turner and Engle (1989),,
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-WM,verbal,WM,,-0.37,Math anxiety,Self developed,,,Working memory,Algebra wm task based on Turner and Engle (1989),,
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-Maths,,,math_apply,-0.38,Math anxiety,Self developed,,,,,Mathematic,Algebra problem solving task
yes,"Trezise et al., 2014","Trezise et al., 2014",,65,Dev_Group,MA-Maths,,,arithmetic,-0.58,Math anxiety,Self developed,,,,,Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-Maths,,,math_apply,-0.48,Math anxiety,Self developed,,,,,Mathematic,WJ-III
yes,"Trezise et al., 2014","Trezise et al., 2014",,76,Dev_Group,MA-Maths,,,math_apply,-0.58,Math anxiety,Self developed,,,,,Mathematic,Algebra problem solving task
