Peer-reviewed,Study,Sample,Gender,N,Age.classification,Combination,WM.type1,WM.type2,Math.type,Reported.Effect.Size,MA.TA.Description,MA.TA.Name,TA.GA.Description,TA.GA.Name,COGN.Description,COGN.Name,ACH.Description,ACH.Name
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,MA-GA,,,,0.01,Math anxiety,SEMA 2,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 2),,,,
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,GA-Maths,,,arithmetic,-0.28,,,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 2),,,mathematics,Written computation
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,GA-Maths,,,arithmetic,-0.02,,,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 2),,,mathematics,Math problems
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,GA-Maths,,,basic_know,-0.24,,,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 2),,,mathematics,Mat 2-module number 
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,GA-Maths,,,arithmetic,-0.21,,,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 2),,,mathematics,Written computation
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,GA-Maths,,,arithmetic,-0.46,,,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 2),,,mathematics,Math problems
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade2",,198,Dev_Group,GA-Maths,,,basic_know,-0.19,,,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 2),,,mathematics,Mat 2-module number 
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,MA-Maths,,,arithmetic,-0.31,Math anxiety,SEMA 3,,,,,mathematics,Written computation
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,MA-Maths,,,arithmetic,-0.31,Math anxiety,SEMA 3,,,,,mathematics,Math problems
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,MA-Maths,,,basic_know,-0.36,Math anxiety,SEMA 3,,,,,mathematics,Mat 2-module number 
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,MA-GA,,,,0.38,Math anxiety,SEMA 3,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 3),,,,
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,MA-GA,,,,0.37,Math anxiety,SEMA 3,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 3),,,,
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,GA-Maths,,,arithmetic,-0.26,,,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 3),,,mathematics,Written computation
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,GA-Maths,,,arithmetic,-0.31,,,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 3),,,mathematics,Math problems
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,GA-Maths,,,basic_know,-0.17,,,General anxiety,Depression and Anxiety in youth scale - self report (DAYS 3),,,mathematics,Mat 2-module number 
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,GA-Maths,,,arithmetic,-0.34,,,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 3),,,mathematics,Written computation
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,GA-Maths,,,arithmetic,-0.35,,,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 3),,,mathematics,Math problems
yes,"Cargnelutti et al., 2017b","Cargnelutti et al., 2017b_Grade3",,80,Dev_Group,GA-Maths,,,basic_know,-0.35,,,General anxiety,Depression and Anxiety in youth scale - observed (DAYS 3),,,mathematics,Mat 2-module number 
yes,"Casad et al., 2015","Casad et al., 2015",,683,Dev_Group,MA-Maths,,,grade,-0.37,Math anxiety,Self developed,,,,,mathematics,GPA
yes,"Casey et al., 1997","Casey et al., 1997",,274,Dev_Group,MA-Maths,,,math_apply,-0.2,math anxiety,Self developed,,,,,mathematics,SAT-M
yes,"Casey et al., 1997","Casey et al., 1997",,274,Dev_Group,MA-Maths,,,grade,0.1,math anxiety,Self developed,,,,,mathematics,grade
yes,"Cheema et al., 2015","Cheema et al., 2015",,4978,Dev_Group,MA-Maths,,,grade,-0.39,math anxiety,self developed,,,,,mathematics,grade
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,MA-TA,,,,0.2,math anxiety,self developed,test anxiety,Children.s Test Anxiety (Chinese version),,,,
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,MA-GA,,,,0.19,math anxiety,self developed,General anxiety,CBCL (anxiety problem scale),,,,
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,MA-WM,verbal,WM,,0.08,math anxiety,self developed,,,verbal working memory,WISC III,,
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,MA-Maths,,,basic_know,0.02,math anxiety,self developed,,,,,mathematics,Number knowled test adpted
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,MA-Maths,,,arithmetic,-0.32,math anxiety,self developed,,,,,mathematics,self developed
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,TA-Maths,,,basic_know,0.02,test anxiety,Children.s Test Anxiety (Chinese version),,,,,mathematics,Number knowled test adpted
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,TA-Maths,,,arithmetic,0.06,test anxiety,Children.s Test Anxiety (Chinese version),,,,,mathematics,self developed
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,GA-Maths,,,basic_know,0,,,General anxiety,CBCL (anxiety problem scale),,,mathematics,Number knowled test adpted
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,GA-Maths,,,arithmetic,0.03,,,General anxiety,CBCL (anxiety problem scale),,,mathematics,self developed
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,WM-Maths,verbal,WM,basic_know,0.23,,,,,verbal working memory,WISC III,mathematics,Number knowled test adpted
yes,"Ching et al., 2017","Ching et al., 2017",,246,Dev_Group,WM-Maths,verbal,WM,arithmetic,0.21,,,,,verbal working memory,WISC III,mathematics,self developed
yes,"Chiftci et al., 2015","Chiftci et al., 2015",,638,Dev_Group,MA-Maths,,,grade,-0.33,math anxiety,Mathematic Anxiety Assessment Scale,,,,,mathematics,GPA
yes,"Gogol et al., 2014","Gogol et al., 2014",,3879,Dev_Group,MA-Maths,,,math_apply,-0.26,math anxiety,self developed-Full Scale,,,,,mathematics,competency test self developed
yes,"Gogol et al., 2014","Gogol et al., 2014",,3879,Dev_Group,MA-Maths,,,math_apply,-0.25,math anxiety,self developed-Short Scale,,,,,mathematics,competency test self developed
yes,"Gogol et al., 2014","Gogol et al., 2014",,3879,Dev_Group,MA-Maths,,,math_apply,-0.15,math anxiety,self developed-Single Item,,,,,mathematics,competency test self developed
yes,"Gogol et al., 2014","Gogol et al., 2014",,3879,Dev_Group,GA-Maths,,,math_apply,-0.26,,,General School Anxiety,self developed-Full Scale,,,mathematics,competency test self developed
yes,"Gogol et al., 2014","Gogol et al., 2014",,3879,Dev_Group,GA-Maths,,,math_apply,-0.22,,,General School Anxiety,self developed-Short Scale,,,mathematics,competency test self developed
yes,"Gogol et al., 2014","Gogol et al., 2014",,3879,Dev_Group,GA-Maths,,,math_apply,-0.22,,,General School Anxiety,self developed-Single Item,,,mathematics,competency test self developed
yes,"Federici et al., 2014","Federici et al., 2014",,309,Dev_Group,MA-Maths,,,grade,-0.3,Math anxiety,Self developed,,,,,Mathematic,
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade3",,47,Dev_Group,MA-Maths,,,math_apply,-0.26,Math anxiey,MAXS,,,,,Mathematic,Mathematic achievement test
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade3",,47,Dev_Group,MA-TA,,,,0.5,Math anxiey,MAXS,Test anxiety,STAS,,,,
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade3",,47,Dev_Group,TA-Maths,,,math_apply,-0.01,,,Test anxiety,STAS,,,Mathematic,Mathematic achievement test
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade3",,47,Dev_Group,MA-TA,,,,0.42,Math anxiey,MAXS,Test anxiety,STAS,,,,
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade3",,47,Dev_Group,MA-Maths,,,math_apply,-0.37,Math anxiey,MAXS,,,,,Mathematic,Mathematic achievement test
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade6",,48,Dev_Group,MA-Maths,,,math_apply,-0.33,Math anxiey,MAXS,,,,,Mathematic,Mathematic achievement test
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade6",,48,Dev_Group,MA-TA,,,,0.49,Math anxiey,MAXS,Test anxiety,STAS,,,,
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade6",,48,Dev_Group,TA-Maths,,,math_apply,-0.1,,,Test anxiety,STAS,,,Mathematic,Mathematic achievement test
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade6",,48,Dev_Group,MA-TA,,,,0.21,Math anxiey,MAXS,Test anxiety,STAS,,,,
yes,"Gierl et al., 1995","Gierl et al., 1995_Grade6",,48,Dev_Group,MA-Maths,,,math_apply,-0.41,Math anxiey,MAXS,,,,,Mathematic,Mathematic achievement test
yes,"Goetz et al., 2010","Goetz et al., 2010_Grade8_A",,699,Dev_Group,MA-Maths,,,grade,-0.46,Math anxiety,Self developed adapted by AEQ(Pekrun et al.),,,,,Mathematic,
yes,"Goetz et al., 2010","Goetz et al., 2010_Grade8_B",,274,Dev_Group,MA-Maths,,,grade,-0.42,Math anxiety,Self developed adapted by AEQ(Pekrun et al.),,,,,Mathematic,
yes,"Goetz et al., 2010","Goetz et al., 2010_Grade11_A",,551,Dev_Group,MA-Maths,,,grade,-0.57,Math anxiety,Self developed adapted by AEQ(Pekrun et al.),,,,,Mathematic,
yes,"Goetz et al., 2010","Goetz et al., 2010_Grade11_B",,163,Dev_Group,MA-Maths,,,grade,-0.58,Math anxiety,Self developed adapted by AEQ(Pekrun et al.),,,,,Mathematic,
yes,"Guderson et al., 2018","Guderson et al., 2018",,583,Dev_Group,MA-Maths,,,math_apply,-0.29,Math anxiety,CMAQ-R,,,,,Mathematic, WoodcockJohnson III Tests of Achievement
yes,"Guderson et al., 2018","Guderson et al., 2018",,589,Dev_Group,MA-Maths,,,math_apply,-0.42,Math anxiety,CMAQ-R,,,,,Mathematic, WoodcockJohnson III Tests of Achievement
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,GA-Maths,,,math_apply,-0.13,-,-,General anxiety,Spencer Children Anxiety Scale,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-Maths,,,math_apply,-0.14,Math anxiety,MASYC,-,-,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-Maths,,,math_apply,-0.06,Math anxiety,MASYC,-,-,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-Maths,,,math_apply,-0.13,Math anxiety,MASYC,-,-,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-Maths,,,math_apply,-0.19,Math anxiety,MASYC-R,-,-,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-Maths,,,math_apply,-0.08,Math anxiety,MASYC-R,-,-,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-Maths,,,math_apply,-0.2,Math anxiety,MASYC-R,-,-,,,Mathematic,self-developed
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-GA,,,,0.54,Math anxiety,MASYC,General anxiety,Spencer Children Anxiety Scale,,,-,
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-GA,,,,0.43,Math anxiety,MASYC,General anxiety,Spencer Children Anxiety Scale,,,-,
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-GA,,,,0.57,Math anxiety,MASYC,General anxiety,Spencer Children Anxiety Scale,,,-,
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-GA,,,,0.62,Math anxiety,MASYC-R,General anxiety,Spencer Children Anxiety Scale,,,-,
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-GA,,,,0.45,Math anxiety,MASYC-R,General anxiety,Spencer Children Anxiety Scale,,,-,
yes,"Ganley et al., 2016","Ganley et al., 2016",,281,Dev_Group,MA-GA,,,,0.66,Math anxiety,MASYC-R,General anxiety,Spencer Children Anxiety Scale,,,-,
yes,"Guven et al., 2013","Guven et al., 2013",,115,Dev_Group,MA-Maths,,,math_apply,-0.35,Math anxiety,Mathematics anxiety scale (Bindak),,,,,Problem-solving,self-developed
yes,Erturan et al.,"Erturan et al., 2015_Study1 male",males,73,Dev_Group,MA-Maths,,,arithmetic,-0.15,Math anxiety,MASC-NL,,,,,Math performance,Arithmetic Number Fact Test (TTR)
yes,Erturan et al.,"Erturan et al., 2015_Study1 female",females,61,Dev_Group,MA-Maths,,,arithmetic,-0.37,Math anxiety,MASC-NL,,,,,Math performance,Arithmetic Number Fact Test (TTR)
yes,Erturan et al.,"Erturan et al., 2015_Study2 male",males,110,Dev_Group,MA-Maths,,,arithmetic,-0.07,Math anxiety,MASC-NL,,,,,Math performance,Tempo Test Autormatiseren (TTA)
yes,Erturan et al.,"Erturan et al., 2015_Study2 female",females,98,Dev_Group,MA-Maths,,,arithmetic,-0.23,Math anxiety,MASC-NL,,,,,Math performance,Tempo Test Autormatiseren (TTA)
yes,"Frenzel et al., 2007","Frenzel et al., 2007_German sample",,312,Dev_Group,MA-Maths,,,grade,-0.5,Math anxiety,AEQ-M,,,,,Mathematic,
yes,"Frenzel et al., 2007","Frenzel et al., 2007_German sample",,312,Dev_Group,MA-Maths,,,grade,-0.6,Math anxiety,AEQ-M,,,,,Mathematic,
yes,"Frenzel et al., 2007","Frenzel et al., 2007_German sample",,312,Dev_Group,MA-Maths,,,grade,-0.32,Math anxiety,AEQ-M,,,,,Mathematic,
yes,"Frenzel et al., 2007","Frenzel et al., 2007_Chinese sample",,579,Dev_Group,MA-Maths,,,grade,-0.46,Math anxiety,AEQ-M,,,,,Mathematic,
yes,"Frenzel et al., 2007","Frenzel et al., 2007_Chinese sample",,579,Dev_Group,MA-Maths,,,grade,-0.54,Math anxiety,AEQ-M,,,,,Mathematic,
yes,"Frenzel et al., 2007","Frenzel et al., 2007_Chinese sample",,579,Dev_Group,MA-Maths,,,grade,-0.55,Math anxiety,AEQ-M,,,,,Mathematic,
yes,"Goetz et al., 2007","Goetz et al., 2007_Grade8",,307,Dev_Group,MA-Maths,,,grade,-0.51,Math anxiety,AEQ-M (Pekrun et al. 2005),,,,,Mathematic,
yes,"Goetz et al., 2007","Goetz et al., 2007_Grade11",,235,Dev_Group,MA-Maths,,,grade,-0.54,Math anxiety,AEQ-M (Pekrun et al. 2005),,,,,Mathematic,
yes,"Hamid et al., 2013","Hamid et al., 2013",,204,Dev_Group,MA-Maths,,,grade,-0.26,Math anxiety,MARS-R,,,,,Mathematic,
yes,"Hamid et al., 2013","Hamid et al., 2013",,204,Dev_Group,MA-Maths,,,grade,0.18,Math anxiety,MARS-R,,,,,Mathematic,
yes,"Engelhard, 1990","Engelhard, 1990_USA sample",,4091,Dev_Group,MA-Maths,,,math_apply,-0.24,Math anxiety,SIMS,,,,,Mathematic,
yes,"Engelhard, 1990","Engelhard, 1990_Thai sample",,3613,Dev_Group,MA-Maths,,,math_apply,-0.14,Math anxiety,SIMS,,,,,Mathematic,
yes,"Goetz et al., 2006","Goetz et al., 2006",,721,Dev_Group,MA-Maths,,,grade,-0.29,Math anxiety,PALMA,,,,,Mathematic,
yes,"Harari et al., 2013","Harari et al., 2013",,106,Dev_Group,MA-Maths,,,arithmetic,-0.3,Math anxiety,Self-developed,,,,,Mathematics,SDMT4 - Computation subtest
yes,"Harari et al., 2013","Harari et al., 2013",,106,Dev_Group,MA-Maths,,,basic_know,-0.28,Math anxiety,Self-developed,,,,,Mathematics,MASI - skip and rote counting
yes,"Harari et al., 2013","Harari et al., 2013",,106,Dev_Group,MA-Maths,,,basic_know,-0.35,Math anxiety,Self-developed,,,,,Mathematics,WJ III - math concept
yes,"Harari et al., 2013","Harari et al., 2013",,106,Dev_Group,MA-Maths,,,math_apply,-0.15,Math anxiety,Self-developed,,,,,Mathematics,WJ III- number series
yes,"Hart et al., 2016","Hart et al., 2016",,493,Dev_Group,MA-Maths,,,arithmetic,-0.3,Math anxiety,Revised MARS-E,,,,,Mathematics,WJ III - Calculation
yes,"Hart et al., 2016","Hart et al., 2016",,509,Dev_Group,MA-Maths,,,math_apply,-0.31,Math anxiety,Revised MARS-E,,,,,Mathematics,WJ III - applied problems
yes,"Hart et al., 2016","Hart et al., 2016",,484,Dev_Group,MA-Maths,,,basic_know,-0.06,Math anxiety,Revised MARS-E,,,,,Mathematics,Dots Task
yes,"Hart et al., 2016","Hart et al., 2016",,475,Dev_Group,MA-Maths,,,basic_know,-0.14,Math anxiety,Revised MARS-E,,,,,Mathematics,Number-Line Task
yes,"Hart et al., 2016","Hart et al., 2016",,502,Dev_Group,MA-Maths,,,arithmetic,-0.24,Math anxiety,Revised MARS-E,,,,,Mathematics,WJ III 
yes,"Henschel et al., 2017","Henschel et al., 2017",,368,Dev_Group,MA-Maths,,,math_apply,-0.68,Math anxiety,Self-developed,,,,,Mathematics,DEMAT 3+
yes,"Henschel et al., 2017","Henschel et al., 2017",,368,Dev_Group,MA-Maths,,,math_apply,-0.52,Math anxiety,Self-developed,,,,,Mathematics,DEMAT 3+
yes,"Hunt et al., 2017","Hunt et al., 2017",,77,Dev_Group,MA-Maths,,,math_apply,-0.21,Math anxiety,MASC,,,,,Mathematics,self-developed
yes,"Hunt et al., 2017","Hunt et al., 2017",,77,Dev_Group,MA-Maths,,,math_apply,-0.48,Math anxiety,MASC,,,,,Mathematics,self-developed
yes,"Kalaycioglu, 2015","Kalaycioglu, 2015_England sample",,1316,Dev_Group,MA-Maths,,,math_apply,-0.16,Math anxiety,self-developed,,,,,Mathematics,PISA
yes,"Kalaycioglu, 2015","Kalaycioglu, 2015_Greece sample",,1582,Dev_Group,MA-Maths,,,math_apply,-0.25,Math anxiety,Self-developed,,,,,Mathematics,PISA
yes,"Kalaycioglu, 2015","Kalaycioglu, 2015_Hong Kong sample",,1496,Dev_Group,MA-Maths,,,math_apply,-0.19,Math anxiety,Self-developed,,,,,Mathematics,PISA
yes,"Kalaycioglu, 2015","Kalaycioglu, 2015_Netherlands sample",,1344,Dev_Group,MA-Maths,,,math_apply,-0.08,Math anxiety,Self-developed,,,,,Mathematics,PISA
yes,"Kalaycioglu, 2015","Kalaycioglu, 2015_Turkey sample",,1504,Dev_Group,MA-Maths,,,math_apply,-0.14,Math anxiety,Self-developed,,,,,Mathematics,PISA
yes,"Kalaycioglu, 2015","Kalaycioglu, 2015_USA sample",,1564,Dev_Group,MA-Maths,,,math_apply,-0.22,Math anxiety,Self-developed,,,,,Mathematics,PISA
yes,"Kim et al., 2014","Kim et al., 2014",,72,Dev_Group,MA-Maths,,,grade,-0.33,Math Anxiety,AEQ-M,,,,,,
yes,"Kyttala et al., 2010","Kyttala et al., 2010",,116,Dev_Group,MA-Maths,,,math_apply,-0.19,Math Anxiety,MAQ,,,,,Mathematics,KTLT
yes,"Kyttala et al., 2010","Kyttala et al., 2010",,116,Dev_Group,MA-Maths,,,math_apply,-0.23,Math Anxiety,MAQ,,,,,Mathematics,KTLT
yes,"Kyttala et al., 2014","Kyttala et al., 2014_male sample",males,42,Dev_Group,MA-Maths,,,math_apply,-0.19,Math Anxiety,MARS,,,,,Mathematics,KTLT
yes,"Kyttala et al., 2014","Kyttala et al., 2014_male sample",males,42,Dev_Group,MA-Maths,,,arithmetic,-0.08,Math Anxiety,MARS,,,,,Mathematics,KTLT
yes,"Kyttala et al., 2014","Kyttala et al., 2014_female sample",females,32,Dev_Group,MA-Maths,,,math_apply,-0.36,Math Anxiety,MARS,,,,,Mathematics,KTLT
yes,"Kyttala et al., 2014","Kyttala et al., 2014_female sample",females,32,Dev_Group,MA-Maths,,,arithmetic,-0.13,Math Anxiety,MARS,,,,,Mathematics,KTLT
yes,"Lim et al., 2013","Lim et al., 2013",,1601,Dev_Group,MA-Maths,,,math_apply,-0.5,Math Anxiety,FSMAS-R,,,,,Mathematics,non specified
yes,"Lim et al., 2015","Lim et al., 2015_male",males,497,Dev_Group,MA-Maths,,,math_apply,-0.46,Math Anxiety,FSMAS-R,,,,,Mathematics,self-developed
yes,"Lim et al., 2015","Lim et al., 2015_male",males,497,Dev_Group,MA-Maths,,,math_apply,-0.41,Math Anxiety,FSMAS-R,,,,,Mathematics,self-developed
yes,"Lim et al., 2015","Lim et al., 2015_female",females,521,Dev_Group,MA-Maths,,,math_apply,-0.54,Math Anxiety,FSMAS-R,,,,,Mathematics,self-developed
yes,"Lim et al., 2015","Lim et al., 2015_female",females,521,Dev_Group,MA-Maths,,,math_apply,-0.45,Math Anxiety,FSMAS-R,,,,,Mathematics,self-developed
yes,"Luo et al., 2013","Luo et al., 2013",,1667,Dev_Group,MA-Maths,,,math_apply,-0.3,Math Anxiety,Adapted PISA,,,,,Mathematics,self-developed
yes,"Luo et al., 2013","Luo et al., 2013",,1667,Dev_Group,MA-Maths,,,grade,-0.08,Math Anxiety,Adapted PISA,,,,,Mathematics,
yes,"Luo et al., 2014","Luo et al., 2014_Group1",,273,Dev_Group,MA-Maths,,,grade,-0.36,Math Anxiety,self-developed,,,,,Mathematics,
yes,"Luo et al., 2014","Luo et al., 2014_Group2",,1196,Dev_Group,MA-Maths,,,math_apply,-0.29,Math Anxiety,Adapted PISA,,,,,Mathematics,self-developed
yes,"Luo et al., 2014","Luo et al., 2014_Group2",,1196,Dev_Group,MA-Maths,,,grade,-0.08,Math Anxiety,Adapted PISA,,,,,Mathematics,
yes,"Lupkowski et al., 1991","Lupkowski et al., 1991_male sample",males,44,Dev_Group,MA-Maths,,,math_apply,-0.2,Math Anxiety,MARS,,,,,Mathematics,M-SAT
yes,"Lupkowski et al., 1991","Lupkowski et al., 1991_male sample",males,44,Dev_Group,MA-Maths,,,grade,-0.28,Math Anxiety,MARS,,,,,Mathematics,
yes,"Lupkowski et al., 1991","Lupkowski et al., 1991_female sample",females,22,Dev_Group,MA-Maths,,,math_apply,0.03,Math Anxiety,MARS,,,,,Mathematics,M-SAT
yes,"Lupkowski et al., 1991","Lupkowski et al., 1991_female sample",females,22,Dev_Group,MA-Maths,,,grade,0.34,Math Anxiety,MARS,,,,,Mathematics,
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,grade,-0.34,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,math_apply,-0.26,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,PALMA  Mathematical Achievement Test 
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,grade,-0.3,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,math_apply,-0.24,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,PALMA  Mathematical Achievement Test 
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,grade,-0.25,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,math_apply,-0.23,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,PALMA  Mathematical Achievement Test 
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,grade,-0.23,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,math_apply,-0.25,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,PALMA  Mathematical Achievement Test 
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,grade,-0.21,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,
yes,"Marsh et al., 2017","Marsh et al., 2017",,1325,Dev_Group,MA-Maths,,,math_apply,-0.23,Math Anxiety,AEQ-M (Pekrun at al.. 2011),,,,,Mathematics,PALMA  Mathematical Achievement Test 
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.12,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.24,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.13,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.29,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.25,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.26,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.19,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.17,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.06,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Meece et al., 1990","Meece et al., 1990",,250,Dev_Group,MA-Maths,,,grade,-0.2,Math Anxiety,Self developed,,,,,Mathematics,
yes,"Mevarech et al., 1991","Mevarech et al., 1991",,149,Dev_Group,MA-Maths,,,math_apply,-0.44,Math Anxiety,Self developed ,,,,,Mathematics,TOAM
yes,"Morony et al., 2013","Morony et al., 2013",,7167,Dev_Group,MA-Maths,,,math_apply,-0.27,Math Anxiety,Self developed ,,,,,Mathematics,9 items from PISA + 1 item TIMSS
yes,"Ottmar et al., 2017","Ottmar et al., 2017",,98,Dev_Group,MA-Maths,,,math_apply,0.07,Math Anxiety,Self developed (adapted by Kaya. 2009),,,,,Mathematics,Simplifying Expressions Assessments
yes,"Ottmar et al., 2017","Ottmar et al., 2017",,98,Dev_Group,MA-Maths,,,math_apply,-0.2,Math Anxiety,Self developed (adapted by Kaya. 2009),,,,,Mathematics,Simplifying Expressions Assessments
